epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3627,0.90448,5.81314,1.27995,0,0,0,0,0,0,0,0.000330808,0.000330808,0.000330808
2,111.386,1.08673,4.04158,1.38138,0,0,0,0,0,0,0,0.000663979,0.000663979,0.000663979
3,170.37,1.08981,3.43031,1.38648,0,0,0,0,0,0,0,0.0009965,0.0009965,0.0009965
4,225.214,1.12359,3.17624,1.38128,0,0,0,0,0,0,0,0.000997803,0.000997803,0.000997803
5,276.847,1.13643,2.90522,1.4039,0,0,0,0,0,0,0,0.000996097,0.000996097,0.000996097
6,329.853,1.13642,2.64799,1.37953,0,0,0,0,0,0,0,0.000993906,0.000993906,0.000993906
7,388.089,1.08888,2.53576,1.35411,0,0,0,0,0,0,0,0.000991232,0.000991232,0.000991232
8,444.087,1.06496,2.37398,1.33607,0,0,0,0,0,0,0,0.000988079,0.000988079,0.000988079
9,497.245,1.02865,2.1982,1.30103,0,0,0,0,0,0,0,0.000984449,0.000984449,0.000984449
10,551.095,1.02708,2.11658,1.29899,0,0,0,0,0,0,0,0.000980345,0.000980345,0.000980345
11,609.703,1.02842,2.05428,1.30947,0,0,0,0,0,0,0,0.000975773,0.000975773,0.000975773
12,666.854,1.03921,1.97823,1.29666,0,0,0,0,0,0,0,0.000970736,0.000970736,0.000970736
13,722.578,0.9785,1.98106,1.278,0,0,0,0,0,0,0,0.000965239,0.000965239,0.000965239
14,779.086,0.96503,1.93426,1.27562,0,0,0,0,0,0,0,0.000959289,0.000959289,0.000959289
15,832.534,0.96936,1.8352,1.25553,0,0,0,0,0,0,0,0.000952889,0.000952889,0.000952889
16,886.963,0.95529,1.69075,1.26216,0,0,0,0,0,0,0,0.000946048,0.000946048,0.000946048
17,945.916,0.98949,1.74907,1.27888,0,0,0,0,0,0,0,0.000938772,0.000938772,0.000938772
18,999.654,0.95423,1.67195,1.24871,0,0,0,0,0,0,0,0.000931067,0.000931067,0.000931067
19,1051.92,0.97204,1.68567,1.26681,0,0,0,0,0,0,0,0.000922942,0.000922942,0.000922942
20,1106.23,0.91963,1.67507,1.24102,0,0,0,0,0,0,0,0.000914405,0.000914405,0.000914405
21,1157.2,0.90946,1.58412,1.25194,0,0,0,0,0,0,0,0.000905463,0.000905463,0.000905463
22,1211.04,0.89955,1.56952,1.21897,0,0,0,0,0,0,0,0.000896127,0.000896127,0.000896127
23,1267.93,0.87763,1.43452,1.20546,0,0,0,0,0,0,0,0.000886404,0.000886404,0.000886404
24,1327.86,0.91042,1.48166,1.23599,0,0,0,0,0,0,0,0.000876305,0.000876305,0.000876305
25,1381.05,0.88159,1.44018,1.21326,0,0,0,0,0,0,0,0.000865839,0.000865839,0.000865839
