epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.607,1.01109,2.24086,1.33107,0,0,0,0,0,0,0,0.000330808,0.000330808,0.000330808
2,217.472,1.20165,2.26982,1.41255,0,0,0,0,0,0,0,0.000663979,0.000663979,0.000663979
3,324.716,1.33367,2.50319,1.49768,0,0,0,0,0,0,0,0.0009965,0.0009965,0.0009965
4,432.683,1.32794,2.57575,1.47541,0,0,0,0,0,0,0,0.000997803,0.000997803,0.000997803
5,540.072,1.30115,2.43066,1.46794,0,0,0,0,0,0,0,0.000996097,0.000996097,0.000996097
6,609.872,1.29393,2.39953,1.46311,0,0,0,0,0,0,0,0.000993906,0.000993906,0.000993906
7,657.836,1.28063,2.25066,1.42446,0,0,0,0,0,0,0,0.000991232,0.000991232,0.000991232
8,705.855,1.22927,2.22523,1.40247,0,0,0,0,0,0,0,0.000988079,0.000988079,0.000988079
9,752.568,1.18209,2.10872,1.37005,0,0,0,0,0,0,0,0.000984449,0.000984449,0.000984449
10,799.543,1.18048,2.03941,1.37471,0,0,0,0,0,0,0,0.000980345,0.000980345,0.000980345
11,847.284,1.16035,1.94569,1.35891,0,0,0,0,0,0,0,0.000975773,0.000975773,0.000975773
12,893.397,1.15233,1.94742,1.33621,0,0,0,0,0,0,0,0.000970736,0.000970736,0.000970736
13,939.281,1.12579,1.90806,1.34148,0,0,0,0,0,0,0,0.000965239,0.000965239,0.000965239
14,984.982,1.11655,1.87522,1.33314,0,0,0,0,0,0,0,0.000959289,0.000959289,0.000959289
15,1030.46,1.08545,1.78706,1.28507,0,0,0,0,0,0,0,0.000952889,0.000952889,0.000952889
16,1076.55,1.08432,1.7534,1.30522,0,0,0,0,0,0,0,0.000946048,0.000946048,0.000946048
17,1122.02,1.11596,1.76935,1.3283,0,0,0,0,0,0,0,0.000938772,0.000938772,0.000938772
18,1168.4,1.06644,1.65496,1.28565,0,0,0,0,0,0,0,0.000931067,0.000931067,0.000931067
19,1213.4,1.06004,1.65686,1.2853,0,0,0,0,0,0,0,0.000922942,0.000922942,0.000922942
20,1259.85,1.03064,1.65677,1.26346,0,0,0,0,0,0,0,0.000914405,0.000914405,0.000914405
21,1305.15,1.02812,1.5859,1.28795,0,0,0,0,0,0,0,0.000905463,0.000905463,0.000905463
22,1351.47,1.00695,1.56404,1.25352,0,0,0,0,0,0,0,0.000896127,0.000896127,0.000896127
23,1396.94,0.98861,1.5063,1.24864,0,0,0,0,0,0,0,0.000886404,0.000886404,0.000886404
24,1443.25,0.98544,1.45563,1.24275,0,0,0,0,0,0,0,0.000876305,0.000876305,0.000876305
25,1490.3,0.98322,1.44113,1.24397,0,0,0,0,0,0,0,0.000865839,0.000865839,0.000865839
26,1535.63,0.97654,1.47951,1.24321,0,0,0,0,0,0,0,0.000855018,0.000855018,0.000855018
27,1580.87,0.95219,1.39614,1.23476,0,0,0,0,0,0,0,0.000843851,0.000843851,0.000843851
28,1626.97,0.96535,1.41274,1.23096,0,0,0,0,0,0,0,0.000832349,0.000832349,0.000832349
29,1672.48,0.98684,1.43531,1.23538,0,0,0,0,0,0,0,0.000820525,0.000820525,0.000820525
30,1719.22,0.91194,1.25833,1.20138,0,0,0,0,0,0,0,0.000808389,0.000808389,0.000808389
31,1765.86,0.93073,1.29481,1.21921,0,0,0,0,0,0,0,0.000795954,0.000795954,0.000795954
32,1811.81,0.91128,1.29595,1.20896,0,0,0,0,0,0,0,0.000783231,0.000783231,0.000783231
33,1858.88,0.92045,1.26857,1.20797,0,0,0,0,0,0,0,0.000770234,0.000770234,0.000770234
34,1904.23,0.91325,1.22985,1.20449,0,0,0,0,0,0,0,0.000756976,0.000756976,0.000756976
35,1951.7,0.88892,1.17944,1.19176,0,0,0,0,0,0,0,0.000743468,0.000743468,0.000743468
36,1997.58,0.892,1.29198,1.18946,0,0,0,0,0,0,0,0.000729725,0.000729725,0.000729725
37,2043.41,0.88838,1.2688,1.19423,0,0,0,0,0,0,0,0.000715761,0.000715761,0.000715761
38,2090.49,0.86295,1.10406,1.17021,0,0,0,0,0,0,0,0.000701588,0.000701588,0.000701588
39,2135.85,0.82616,1.09673,1.13295,0,0,0,0,0,0,0,0.000687222,0.000687222,0.000687222
40,2181.49,0.86348,1.18199,1.19586,0,0,0,0,0,0,0,0.000672675,0.000672675,0.000672675
41,2227.61,0.84364,1.16868,1.17132,0,0,0,0,0,0,0,0.000657963,0.000657963,0.000657963
42,2272.24,0.83128,1.10089,1.14284,0,0,0,0,0,0,0,0.000643101,0.000643101,0.000643101
43,2318.73,0.83471,1.08389,1.15944,0,0,0,0,0,0,0,0.000628101,0.000628101,0.000628101
44,2365.54,0.84641,1.09706,1.18112,0,0,0,0,0,0,0,0.000612981,0.000612981,0.000612981
45,2410.84,0.83514,1.06544,1.16409,0,0,0,0,0,0,0,0.000597754,0.000597754,0.000597754
46,2457.63,0.82608,1.05067,1.16939,0,0,0,0,0,0,0,0.000582435,0.000582435,0.000582435
47,2503.63,0.80326,1.01355,1.13078,0,0,0,0,0,0,0,0.00056704,0.00056704,0.00056704
48,2550.3,0.79464,1.01759,1.13719,0,0,0,0,0,0,0,0.000551584,0.000551584,0.000551584
49,2597.1,0.80268,1.0118,1.13023,0,0,0,0,0,0,0,0.000536081,0.000536081,0.000536081
50,2642.88,0.76265,0.94601,1.12411,0,0,0,0,0,0,0,0.000520548,0.000520548,0.000520548
