epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5124,0.87445,3.81455,1.27154,0.64361,0.33818,0.3698,0.27757,0.83643,3.86011,1.26475,0.00032963,0.00032963,0.00032963
2,64.641,1.06498,2.82424,1.39211,0.42281,0.5643,0.52985,0.35648,1.02477,3.33125,1.39356,0.000662801,0.000662801,0.000662801
3,97.4081,1.04302,2.36037,1.3582,0.60364,0.49684,0.54357,0.38713,0.98833,2.97053,1.42996,0.000995323,0.000995323,0.000995323
4,129.55,1.0996,2.23444,1.39975,0.49353,0.60068,0.50296,0.31629,1.06377,2.62103,1.41481,0.000997803,0.000997803,0.000997803
5,161.828,1.08249,1.97374,1.37368,0.65697,0.67644,0.7143,0.48635,1.00367,2.18075,1.36816,0.000996097,0.000996097,0.000996097
6,193.818,1.0554,1.94909,1.36285,0.56138,0.58933,0.59714,0.40395,1.06321,2.28168,1.42147,0.000993906,0.000993906,0.000993906
7,225.347,1.01773,1.74973,1.32202,0.68973,0.61344,0.67166,0.47637,0.99102,1.9545,1.36435,0.000991232,0.000991232,0.000991232
8,256.582,1.0366,1.65624,1.3557,0.75069,0.51337,0.59766,0.39668,1.07423,2.10418,1.42284,0.000988079,0.000988079,0.000988079
9,287.392,1.04248,1.64901,1.34408,0.66864,0.66793,0.70406,0.47216,0.96879,1.71866,1.32777,0.000984449,0.000984449,0.000984449
10,318.927,1.00318,1.59644,1.28315,0.66419,0.65942,0.71537,0.48162,1.01399,1.66789,1.38772,0.000980345,0.000980345,0.000980345
11,351.553,0.97344,1.46449,1.29387,0.76475,0.53774,0.67752,0.4779,0.98248,1.72835,1.32933,0.000975773,0.000975773,0.000975773
12,382.569,0.95835,1.41466,1.28352,0.71406,0.67536,0.74956,0.53377,0.94618,1.50579,1.29971,0.000970736,0.000970736,0.000970736
13,413.381,1.00476,1.3789,1.28186,0.85187,0.75106,0.84479,0.59974,0.88881,1.16314,1.26083,0.000965239,0.000965239,0.000965239
14,444.965,0.93149,1.31246,1.26508,0.73222,0.66437,0.7493,0.51792,0.9585,1.40026,1.29984,0.000959289,0.000959289,0.000959289
15,475.694,0.92762,1.25914,1.25193,0.84924,0.76668,0.83242,0.58824,0.9778,1.17081,1.34112,0.000952889,0.000952889,0.000952889
16,507.243,0.97023,1.27458,1.2661,0.79675,0.67502,0.79071,0.55515,0.9184,1.27573,1.31233,0.000946048,0.000946048,0.000946048
17,538.503,0.94147,1.14702,1.2479,0.7678,0.73782,0.84683,0.62244,0.87617,1.15875,1.25578,0.000938772,0.000938772,0.000938772
18,569.569,0.91158,1.12577,1.2355,0.7678,0.78152,0.86121,0.61532,0.88945,1.04568,1.28443,0.000931067,0.000931067,0.000931067
19,601.878,0.88325,1.11426,1.23083,0.84671,0.77578,0.86536,0.6295,0.84844,0.9769,1.26105,0.000922942,0.000922942,0.000922942
20,633.767,0.88325,1.08666,1.22035,0.82398,0.78802,0.87094,0.62806,0.90248,0.99598,1.26256,0.000914405,0.000914405,0.000914405
21,664.657,0.86905,1.12125,1.21111,0.80546,0.77675,0.81098,0.5958,0.85787,1.08203,1.26192,0.000905463,0.000905463,0.000905463
22,697.401,0.86133,1.06339,1.19932,0.74743,0.79956,0.8411,0.59356,0.91247,1.08561,1.27632,0.000896127,0.000896127,0.000896127
23,728.813,0.83599,0.99822,1.17969,0.75256,0.73529,0.82702,0.60494,0.89355,1.07605,1.32267,0.000886404,0.000886404,0.000886404
24,759.956,0.91304,1.02941,1.24462,0.86273,0.79851,0.86776,0.64205,0.84365,0.87976,1.23209,0.000876305,0.000876305,0.000876305
25,792.131,0.80855,0.94303,1.1725,0.87002,0.75311,0.86667,0.64417,0.82468,0.9241,1.22928,0.000865839,0.000865839,0.000865839
26,823.496,0.8168,0.94679,1.18308,0.82624,0.7671,0.84994,0.63743,0.79552,0.97626,1.20499,0.000855018,0.000855018,0.000855018
27,855.539,0.82394,0.93565,1.18221,0.84013,0.82264,0.88143,0.6666,0.81382,0.86305,1.21804,0.000843851,0.000843851,0.000843851
28,887.429,0.83902,0.93219,1.19946,0.85277,0.75798,0.86231,0.65006,0.80201,0.8671,1.21549,0.000832349,0.000832349,0.000832349
29,919.937,0.82246,0.94369,1.18506,0.79601,0.81564,0.86295,0.6317,0.84895,0.88556,1.22322,0.000820525,0.000820525,0.000820525
30,950.944,0.82158,0.91018,1.19091,0.87184,0.86134,0.88876,0.67131,0.85279,0.80608,1.22266,0.000808389,0.000808389,0.000808389
31,983.057,0.82893,0.8928,1.20016,0.8642,0.83815,0.8836,0.66045,0.81061,0.77386,1.2145,0.000795954,0.000795954,0.000795954
32,1014.24,0.78617,0.85606,1.15616,0.89842,0.79438,0.89254,0.68026,0.79612,0.78069,1.20441,0.000783231,0.000783231,0.000783231
33,1045.77,0.78247,0.8186,1.16461,0.88014,0.83993,0.91209,0.6884,0.83796,0.74821,1.23134,0.000770234,0.000770234,0.000770234
34,1077.42,0.79177,0.84117,1.1657,0.82614,0.76629,0.8401,0.63158,0.89687,0.94573,1.26231,0.000756976,0.000756976,0.000756976
35,1109.01,0.75927,0.82139,1.14829,0.8477,0.82477,0.90893,0.68009,0.81512,0.81616,1.20344,0.000743468,0.000743468,0.000743468
36,1140.39,0.7689,0.81792,1.15968,0.81441,0.84433,0.87234,0.65061,0.84979,0.78853,1.2398,0.000729725,0.000729725,0.000729725
37,1171.88,0.76441,0.79507,1.14252,0.80617,0.83161,0.87772,0.66863,0.81414,0.8367,1.22611,0.000715761,0.000715761,0.000715761
38,1202.28,0.76652,0.77401,1.139,0.85983,0.85437,0.91177,0.68257,0.80391,0.72444,1.21811,0.000701588,0.000701588,0.000701588
39,1234.73,0.74578,0.75575,1.1275,0.8774,0.89037,0.92263,0.71235,0.80579,0.67333,1.20378,0.000687222,0.000687222,0.000687222
40,1265.6,0.73543,0.78065,1.13051,0.77943,0.84867,0.86131,0.64101,0.80513,0.8303,1.20129,0.000672675,0.000672675,0.000672675
41,1297.65,0.75761,0.75641,1.12917,0.81968,0.79624,0.86943,0.64965,0.85098,0.75799,1.26487,0.000657963,0.000657963,0.000657963
42,1328.89,0.73833,0.73949,1.13118,0.8859,0.86593,0.92014,0.71781,0.78659,0.68362,1.18432,0.000643101,0.000643101,0.000643101
43,1359.97,0.75883,0.73258,1.1372,0.84682,0.81007,0.90188,0.69368,0.76579,0.7596,1.18294,0.000628101,0.000628101,0.000628101
44,1391.16,0.70743,0.72223,1.11042,0.8972,0.78248,0.90125,0.68809,0.78167,0.74942,1.20844,0.000612981,0.000612981,0.000612981
45,1422.6,0.71308,0.67404,1.11568,0.89547,0.80141,0.88847,0.6593,0.88567,0.77216,1.27052,0.000597754,0.000597754,0.000597754
46,1455,0.72698,0.6965,1.11692,0.90463,0.85714,0.92023,0.70473,0.83799,0.67041,1.22841,0.000582435,0.000582435,0.000582435
47,1485.77,0.70384,0.71003,1.11305,0.8782,0.82077,0.91165,0.70262,0.814,0.70764,1.20877,0.00056704,0.00056704,0.00056704
48,1516.46,0.69508,0.69268,1.10985,0.90339,0.75876,0.91875,0.6977,0.78393,0.72708,1.2127,0.000551584,0.000551584,0.000551584
49,1548.29,0.7029,0.69441,1.10252,0.90395,0.83481,0.92811,0.69959,0.81775,0.64416,1.1983,0.000536081,0.000536081,0.000536081
50,1579.54,0.67949,0.64292,1.08505,0.86367,0.87137,0.93261,0.72695,0.77631,0.63311,1.20449,0.000520548,0.000520548,0.000520548
51,1610.87,0.676,0.66062,1.09815,0.82102,0.82391,0.88315,0.67385,0.81283,0.76447,1.24952,0.000505,0.000505,0.000505
52,1641.58,0.67765,0.68808,1.08542,0.9194,0.86065,0.92827,0.70264,0.80694,0.61885,1.23915,0.000489452,0.000489452,0.000489452
53,1673.76,0.67663,0.65316,1.10463,0.88763,0.81036,0.90396,0.69075,0.81585,0.66927,1.23209,0.000473919,0.000473919,0.000473919
54,1705.22,0.66332,0.62785,1.08454,0.89063,0.87747,0.91513,0.70158,0.80889,0.65955,1.23714,0.000458416,0.000458416,0.000458416
55,1737.09,0.64888,0.60721,1.0822,0.85767,0.88554,0.93378,0.71824,0.77526,0.62161,1.19437,0.00044296,0.00044296,0.00044296
56,1767.92,0.6316,0.61502,1.06587,0.84439,0.88906,0.9208,0.72535,0.76574,0.62046,1.22179,0.000427565,0.000427565,0.000427565
57,1800.2,0.67297,0.62185,1.10143,0.86746,0.90705,0.93892,0.73467,0.79185,0.595,1.22326,0.000412246,0.000412246,0.000412246
58,1830.81,0.65401,0.63421,1.08904,0.90711,0.89163,0.9435,0.74423,0.75976,0.55006,1.18902,0.000397019,0.000397019,0.000397019
59,1862.08,0.6571,0.59277,1.07879,0.88201,0.89458,0.94111,0.74627,0.7205,0.55625,1.17241,0.000381899,0.000381899,0.000381899
60,1893.42,0.61498,0.56822,1.05523,0.89463,0.87535,0.94806,0.74979,0.75559,0.5728,1.20779,0.000366899,0.000366899,0.000366899
61,1925.37,0.61818,0.57486,1.06105,0.91347,0.89377,0.94782,0.75052,0.72689,0.51635,1.18171,0.000352037,0.000352037,0.000352037
62,1956.62,0.61966,0.53962,1.05854,0.93302,0.86709,0.94392,0.74625,0.74605,0.53797,1.19417,0.000337325,0.000337325,0.000337325
63,1988.33,0.60757,0.57362,1.05704,0.9083,0.90869,0.9573,0.76235,0.72025,0.5102,1.17372,0.000322778,0.000322778,0.000322778
64,2020.27,0.59729,0.54269,1.04769,0.9144,0.90886,0.95503,0.76006,0.72452,0.4959,1.1661,0.000308412,0.000308412,0.000308412
65,2051.52,0.61321,0.55462,1.06154,0.89429,0.87192,0.92499,0.72564,0.76143,0.57686,1.17816,0.000294239,0.000294239,0.000294239
66,2082.58,0.58697,0.53123,1.05333,0.91887,0.87908,0.94585,0.75377,0.71839,0.53364,1.16054,0.000280275,0.000280275,0.000280275
67,2113.63,0.59796,0.52277,1.03903,0.94207,0.8796,0.95264,0.75966,0.72935,0.50864,1.17522,0.000266532,0.000266532,0.000266532
68,2145.28,0.59853,0.5053,1.03964,0.89449,0.88261,0.94653,0.76575,0.69346,0.54459,1.15035,0.000253024,0.000253024,0.000253024
69,2176.7,0.60196,0.52019,1.05782,0.89746,0.89239,0.94688,0.77006,0.68144,0.5293,1.132,0.000239766,0.000239766,0.000239766
70,2208.09,0.5948,0.50492,1.05649,0.88727,0.88059,0.94032,0.76325,0.70699,0.53595,1.14688,0.000226769,0.000226769,0.000226769
71,2240.09,0.59653,0.52727,1.04828,0.93128,0.8841,0.94672,0.77185,0.7026,0.48689,1.13779,0.000214046,0.000214046,0.000214046
72,2272.93,0.54727,0.47765,1.02012,0.89631,0.89747,0.94169,0.762,0.70153,0.51475,1.15342,0.000201611,0.000201611,0.000201611
73,2304.23,0.58365,0.49389,1.04647,0.91526,0.91269,0.94642,0.76714,0.71432,0.47636,1.1785,0.000189475,0.000189475,0.000189475
74,2335.2,0.57308,0.49632,1.03947,0.94017,0.90575,0.94996,0.76328,0.71231,0.48177,1.15617,0.000177651,0.000177651,0.000177651
75,2367.09,0.56472,0.48853,1.03303,0.95495,0.90126,0.95364,0.77244,0.67841,0.47371,1.13289,0.000166149,0.000166149,0.000166149
76,2398.86,0.57423,0.48152,1.03568,0.93592,0.89781,0.95093,0.76546,0.68734,0.47999,1.14245,0.000154982,0.000154982,0.000154982
77,2431.54,0.55842,0.46733,1.0305,0.92038,0.91283,0.94848,0.76769,0.69769,0.48888,1.1586,0.000144161,0.000144161,0.000144161
78,2463.31,0.56263,0.46235,1.03906,0.90515,0.89595,0.95002,0.76772,0.69923,0.49304,1.1519,0.000133695,0.000133695,0.000133695
79,2493.88,0.53801,0.45466,1.0071,0.92977,0.86496,0.94411,0.77499,0.67676,0.5014,1.14115,0.000123596,0.000123596,0.000123596
80,2525.49,0.53248,0.46488,1.02767,0.93311,0.89524,0.95701,0.77743,0.66931,0.45667,1.13223,0.000113873,0.000113873,0.000113873
81,2557.75,0.55145,0.48212,1.0395,0.94768,0.88903,0.95872,0.7799,0.68208,0.44828,1.12808,0.000104537,0.000104537,0.000104537
82,2589.79,0.55092,0.46464,1.0202,0.91184,0.92349,0.95711,0.77589,0.67729,0.448,1.14461,9.55951e-05,9.55951e-05,9.55951e-05
83,2620.92,0.52953,0.4479,1.01822,0.9314,0.89345,0.95513,0.77457,0.686,0.47897,1.15196,8.70577e-05,8.70577e-05,8.70577e-05
84,2652.41,0.5248,0.4705,1.01022,0.93451,0.88974,0.95634,0.77556,0.6659,0.4703,1.14002,7.89327e-05,7.89327e-05,7.89327e-05
85,2683.54,0.51169,0.44282,1.00255,0.96025,0.87412,0.95674,0.77701,0.67256,0.46355,1.13176,7.12282e-05,7.12282e-05,7.12282e-05
86,2714.65,0.53046,0.45652,1.01399,0.92739,0.90612,0.95711,0.78319,0.65894,0.44827,1.12553,6.39518e-05,6.39518e-05,6.39518e-05
87,2746.18,0.5134,0.42873,1.00238,0.93769,0.89528,0.95751,0.7813,0.66612,0.45147,1.12662,5.71106e-05,5.71106e-05,5.71106e-05
88,2778.36,0.51039,0.42854,1.0055,0.94603,0.88585,0.95786,0.77709,0.67133,0.44988,1.13255,5.07115e-05,5.07115e-05,5.07115e-05
89,2809.93,0.51048,0.42938,1.00765,0.93459,0.89504,0.95753,0.77957,0.67229,0.45026,1.12937,4.47606e-05,4.47606e-05,4.47606e-05
90,2840.97,0.52606,0.44336,1.01891,0.92765,0.90491,0.95686,0.78386,0.67632,0.44651,1.13902,3.9264e-05,3.9264e-05,3.9264e-05
91,2879.9,0.3881,0.32072,0.9151,0.94495,0.87928,0.95131,0.77168,0.70226,0.47531,1.18418,3.4227e-05,3.4227e-05,3.4227e-05
92,2910.19,0.37844,0.30783,0.91425,0.93609,0.8824,0.94968,0.77152,0.69686,0.47239,1.18545,2.96546e-05,2.96546e-05,2.96546e-05
93,2940.62,0.37622,0.29569,0.9137,0.94492,0.8956,0.95552,0.77923,0.69496,0.46834,1.18302,2.55513e-05,2.55513e-05,2.55513e-05
94,2970.65,0.37378,0.29059,0.91553,0.9397,0.88948,0.95301,0.78206,0.69204,0.46358,1.1826,2.19212e-05,2.19212e-05,2.19212e-05
95,3002.22,0.35524,0.2784,0.902,0.94825,0.89194,0.95693,0.78275,0.68787,0.45152,1.17819,1.87678e-05,1.87678e-05,1.87678e-05
96,3032.75,0.35625,0.27875,0.90647,0.95391,0.88469,0.95671,0.78566,0.68609,0.45541,1.17411,1.60943e-05,1.60943e-05,1.60943e-05
97,3063.36,0.36444,0.27212,0.91287,0.95717,0.88438,0.95683,0.78634,0.68259,0.45476,1.16948,1.39032e-05,1.39032e-05,1.39032e-05
98,3093.61,0.35462,0.27444,0.89463,0.96706,0.88844,0.95673,0.7823,0.68174,0.45838,1.16755,1.21968e-05,1.21968e-05,1.21968e-05
99,3124.93,0.34891,0.27154,0.90986,0.94461,0.89118,0.95553,0.78028,0.67697,0.45825,1.15906,1.09768e-05,1.09768e-05,1.09768e-05
100,3154.8,0.34932,0.27367,0.8899,0.95093,0.87946,0.9561,0.7844,0.68646,0.45518,1.17271,1.02443e-05,1.02443e-05,1.02443e-05
