epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8321,0.88435,5.65236,1.28046,0.58978,0.38241,0.45153,0.31994,0.87491,5.82233,1.31971,0.00032963,0.00032963,0.00032963
2,65.0921,1.0347,4.0658,1.37952,0.42496,0.52562,0.45715,0.31537,1.04206,5.63434,1.50857,0.000662801,0.000662801,0.000662801
3,96.2916,1.02941,3.45392,1.349,0.54484,0.5412,0.52426,0.35032,1.03062,4.4806,1.43986,0.000995323,0.000995323,0.000995323
4,128.18,1.09838,3.29923,1.39544,0.43525,0.55658,0.53234,0.34963,1.05845,3.86829,1.44528,0.000997803,0.000997803,0.000997803
5,159.772,1.08948,2.96464,1.38051,0.71457,0.6364,0.73042,0.50564,1.03668,3.06544,1.4409,0.000996097,0.000996097,0.000996097
6,191.993,1.07492,2.82991,1.36546,0.67932,0.56599,0.68309,0.48172,0.95214,3.0844,1.33494,0.000993906,0.000993906,0.000993906
7,224.444,1.05267,2.51468,1.33395,0.68345,0.82389,0.84054,0.5817,0.97347,2.50867,1.33692,0.000991232,0.000991232,0.000991232
8,256.185,1.02498,2.3819,1.34005,0.73404,0.75084,0.79773,0.53944,1.04915,2.32325,1.36406,0.000988079,0.000988079,0.000988079
9,287.77,1.01379,2.3714,1.32337,0.65664,0.74055,0.74502,0.52972,1.05452,2.40833,1.39764,0.000984449,0.000984449,0.000984449
10,319.472,1.02082,2.36661,1.30227,0.64071,0.61871,0.661,0.44981,0.98928,2.78483,1.33238,0.000980345,0.000980345,0.000980345
11,351.185,0.99579,2.10042,1.29379,0.6705,0.72916,0.78488,0.56606,1.01239,2.32485,1.36243,0.000975773,0.000975773,0.000975773
12,382.709,0.99333,2.07154,1.29122,0.78687,0.71999,0.79489,0.592,0.97106,2.01398,1.32212,0.000970736,0.000970736,0.000970736
13,413.312,0.97858,2.01879,1.26402,0.74866,0.68343,0.74584,0.5157,1.0013,2.29222,1.35968,0.000965239,0.000965239,0.000965239
14,444.721,0.9451,1.89672,1.26447,0.73205,0.60181,0.66227,0.46886,0.92847,2.47088,1.30041,0.000959289,0.000959289,0.000959289
15,477.016,0.93561,1.84847,1.25605,0.7024,0.69949,0.76288,0.56133,0.92942,2.0759,1.31516,0.000952889,0.000952889,0.000952889
16,507.834,0.93458,1.85631,1.25131,0.81996,0.77144,0.8437,0.61559,0.95307,1.56116,1.3301,0.000946048,0.000946048,0.000946048
