epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3936,0.88143,5.88208,1.27685,0.83827,0.39077,0.51526,0.3665,0.84107,6.16335,1.22443,0.000330159,0.000330159,0.000330159
2,97.9636,1.0723,4.19041,1.37907,0.60252,0.58341,0.56474,0.36764,1.19143,6.51669,1.57569,0.00066333,0.00066333,0.00066333
3,143.38,1.13625,3.53167,1.40579,0.42456,0.54067,0.44378,0.27122,1.07311,4.73803,1.45977,0.000995852,0.000995852,0.000995852
4,187.041,1.1108,3.10712,1.36753,0.52546,0.6327,0.59983,0.38343,1.11294,4.30578,1.43351,0.000997803,0.000997803,0.000997803
5,234.495,1.11753,2.8759,1.37227,0.5364,0.65793,0.63563,0.45579,0.98495,3.38886,1.34481,0.000996097,0.000996097,0.000996097
6,285.726,1.13735,2.72183,1.3694,0.71353,0.6137,0.7379,0.51442,0.95882,3.40874,1.34924,0.000993906,0.000993906,0.000993906
7,332.744,1.0981,2.4995,1.35994,0.69837,0.70815,0.78094,0.546,1.00664,2.85515,1.36684,0.000991232,0.000991232,0.000991232
8,377.691,1.04447,2.37439,1.31773,0.72304,0.60194,0.68118,0.48759,0.9536,2.95017,1.29492,0.000988079,0.000988079,0.000988079
9,422.665,1.04023,2.2179,1.30073,0.82544,0.72259,0.82088,0.61646,0.8752,2.26229,1.28395,0.000984449,0.000984449,0.000984449
10,472.815,1.01556,2.28896,1.30931,0.74163,0.68355,0.76497,0.55662,0.8875,2.32172,1.24362,0.000980345,0.000980345,0.000980345
11,521.009,1.03158,2.06484,1.30251,0.69966,0.75452,0.77588,0.52609,0.94976,2.43264,1.32744,0.000975773,0.000975773,0.000975773
12,565.035,1.03711,2.09812,1.31086,0.65352,0.69122,0.75226,0.53649,0.96756,2.40901,1.32502,0.000970736,0.000970736,0.000970736
13,610.956,1.01177,1.96359,1.29452,0.82182,0.6932,0.81195,0.58924,0.9361,2.1499,1.29897,0.000965239,0.000965239,0.000965239
14,654.478,0.98427,2.0017,1.28308,0.78047,0.76592,0.8298,0.61811,0.87589,1.90229,1.26021,0.000959289,0.000959289,0.000959289
15,700.477,0.97508,1.88974,1.26426,0.85803,0.76047,0.8846,0.66414,0.88091,1.68467,1.24447,0.000952889,0.000952889,0.000952889
