epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3264,0.90179,5.72111,1.28756,0.73577,0.3354,0.43935,0.33778,0.85168,5.55172,1.35032,0.00032963,0.00032963,0.00032963
2,62.6159,1.03553,4.2556,1.36656,0.57712,0.57982,0.58721,0.43472,0.9892,4.2645,1.45434,0.000662801,0.000662801,0.000662801
3,93.6198,1.08117,3.52787,1.38293,0.57586,0.75845,0.70151,0.50091,0.95215,4.15364,1.42553,0.000995323,0.000995323,0.000995323
4,125.96,1.06108,3.17136,1.36206,0.72243,0.5298,0.62223,0.43051,1.06735,3.64065,1.49601,0.000997803,0.000997803,0.000997803
5,156.496,1.06445,2.94675,1.35351,0.58492,0.59161,0.65167,0.47912,0.96732,3.32629,1.42472,0.000996097,0.000996097,0.000996097
6,187.911,1.08196,2.84794,1.36331,0.59374,0.72907,0.73499,0.52395,1.04156,2.79428,1.49119,0.000993906,0.000993906,0.000993906
7,218.85,1.03013,2.65017,1.31329,0.64511,0.66676,0.7524,0.52598,0.96989,2.66172,1.38941,0.000991232,0.000991232,0.000991232
8,250.461,1.04943,2.40202,1.35126,0.6887,0.7004,0.78304,0.54089,0.97527,2.45431,1.3588,0.000988079,0.000988079,0.000988079
9,282.054,1.0103,2.34309,1.30444,0.74725,0.67687,0.78446,0.5754,0.96218,2.37817,1.35377,0.000984449,0.000984449,0.000984449
10,313.199,1.04114,2.28436,1.32788,0.74505,0.72142,0.79499,0.5762,0.96166,2.14127,1.40655,0.000980345,0.000980345,0.000980345
11,344.485,0.98446,2.10454,1.27982,0.68771,0.68373,0.7625,0.55344,0.91534,2.23649,1.3344,0.000975773,0.000975773,0.000975773
12,376.305,1.00178,2.09724,1.29934,0.72954,0.64449,0.7011,0.50952,0.97143,2.47788,1.42009,0.000970736,0.000970736,0.000970736
13,406.53,0.98266,1.97253,1.2737,0.87638,0.6657,0.83075,0.63124,0.84905,1.79087,1.28399,0.000965239,0.000965239,0.000965239
14,438.086,0.9503,1.94747,1.25714,0.80664,0.69321,0.80528,0.59028,0.963,1.92618,1.34916,0.000959289,0.000959289,0.000959289
15,470.002,0.9698,1.84236,1.2578,0.88818,0.75743,0.89823,0.64979,0.83236,1.52667,1.26147,0.000952889,0.000952889,0.000952889
16,501.402,0.93281,1.74818,1.24886,0.80316,0.82939,0.90659,0.69095,0.84346,1.47455,1.26406,0.000946048,0.000946048,0.000946048
17,532.897,0.94258,1.739,1.24724,0.61358,0.73517,0.82681,0.62918,0.79742,1.95332,1.22255,0.000938772,0.000938772,0.000938772
18,564.02,0.93404,1.64524,1.2372,0.7645,0.7912,0.81975,0.58794,1.01579,1.70596,1.45992,0.000931067,0.000931067,0.000931067
19,596.533,0.94789,1.70373,1.25444,0.84931,0.80358,0.89107,0.64105,0.93112,1.40636,1.30906,0.000922942,0.000922942,0.000922942
20,628.767,0.92345,1.6516,1.23659,0.71445,0.74861,0.79173,0.58616,0.86773,1.71382,1.30124,0.000914405,0.000914405,0.000914405
21,660.48,0.88778,1.54327,1.22869,0.84782,0.78593,0.84206,0.64116,0.8256,1.49384,1.26123,0.000905463,0.000905463,0.000905463
22,691.304,0.86118,1.49304,1.17683,0.85592,0.79472,0.86094,0.67713,0.78582,1.32053,1.23512,0.000896127,0.000896127,0.000896127
23,723.132,0.87465,1.45214,1.20848,0.88173,0.78868,0.87658,0.67418,0.82667,1.25657,1.26166,0.000886404,0.000886404,0.000886404
24,754.208,0.87073,1.51113,1.20445,0.8455,0.77029,0.87877,0.68086,0.80279,1.33771,1.24028,0.000876305,0.000876305,0.000876305
25,785.173,0.86109,1.44793,1.20176,0.78627,0.69381,0.8412,0.64804,0.80537,1.60605,1.23845,0.000865839,0.000865839,0.000865839
26,817.275,0.87878,1.55156,1.21762,0.83669,0.82615,0.88659,0.69585,0.82988,1.21056,1.26037,0.000855018,0.000855018,0.000855018
27,849.693,0.83523,1.36065,1.18284,0.83288,0.83591,0.90469,0.7025,0.80459,1.19268,1.25371,0.000843851,0.000843851,0.000843851
28,880.129,0.86639,1.35354,1.20248,0.83565,0.87368,0.89288,0.71771,0.75067,1.15731,1.19794,0.000832349,0.000832349,0.000832349
29,911.408,0.84853,1.40402,1.19769,0.8851,0.74266,0.88696,0.69246,0.78693,1.24171,1.21775,0.000820525,0.000820525,0.000820525
30,942.84,0.82795,1.32928,1.18078,0.85212,0.80562,0.895,0.67621,0.85104,1.19316,1.29211,0.000808389,0.000808389,0.000808389
31,973.712,0.8343,1.33894,1.19296,0.84968,0.80933,0.90149,0.70187,0.81908,1.17784,1.2779,0.000795954,0.000795954,0.000795954
32,1005.12,0.85437,1.3352,1.20031,0.85731,0.8265,0.9025,0.68816,0.82493,1.15452,1.25814,0.000783231,0.000783231,0.000783231
33,1036.24,0.81825,1.28832,1.1776,0.85646,0.83491,0.89398,0.71019,0.75641,1.23515,1.21493,0.000770234,0.000770234,0.000770234
34,1067.75,0.79711,1.22434,1.15933,0.81307,0.78982,0.89676,0.69738,0.76659,1.23467,1.22477,0.000756976,0.000756976,0.000756976
35,1098.61,0.78689,1.21499,1.16976,0.89569,0.80906,0.91937,0.73883,0.73144,1.03631,1.20971,0.000743468,0.000743468,0.000743468
36,1130,0.7996,1.28198,1.16716,0.84972,0.85023,0.89246,0.71692,0.72014,1.05081,1.18612,0.000729725,0.000729725,0.000729725
37,1161.14,0.77013,1.17087,1.15621,0.86341,0.85166,0.9049,0.71141,0.78274,1.02707,1.22756,0.000715761,0.000715761,0.000715761
38,1193.01,0.7657,1.14417,1.14257,0.88482,0.85039,0.90517,0.70326,0.79049,1.08628,1.25374,0.000701588,0.000701588,0.000701588
39,1223.86,0.78313,1.17077,1.15028,0.89901,0.86102,0.9361,0.75574,0.73886,0.97428,1.19906,0.000687222,0.000687222,0.000687222
40,1254.9,0.78212,1.11587,1.16132,0.8929,0.86023,0.92395,0.73091,0.78238,0.91893,1.25467,0.000672675,0.000672675,0.000672675
41,1287.06,0.74911,1.13802,1.13083,0.83252,0.89051,0.91529,0.73988,0.74662,0.97676,1.19914,0.000657963,0.000657963,0.000657963
42,1318.09,0.75364,1.07567,1.141,0.87939,0.87151,0.90212,0.72875,0.71644,0.9899,1.2036,0.000643101,0.000643101,0.000643101
43,1349.1,0.72859,1.06836,1.11567,0.88181,0.8815,0.91184,0.75176,0.7125,0.92026,1.18716,0.000628101,0.000628101,0.000628101
44,1380.52,0.73165,1.07222,1.12575,0.87302,0.86041,0.91293,0.73595,0.71396,1.01068,1.18225,0.000612981,0.000612981,0.000612981
45,1412.17,0.74674,1.02415,1.12302,0.91506,0.88661,0.93928,0.76451,0.71745,0.94818,1.16903,0.000597754,0.000597754,0.000597754
46,1443.37,0.7247,1.03582,1.11785,0.92245,0.87898,0.91813,0.7646,0.70754,0.84688,1.18695,0.000582435,0.000582435,0.000582435
47,1474.62,0.7244,0.9907,1.13519,0.87322,0.86469,0.91087,0.73826,0.67215,0.9753,1.18199,0.00056704,0.00056704,0.00056704
48,1507.43,0.73045,1.04381,1.1344,0.90591,0.86901,0.9329,0.75587,0.72553,0.87653,1.19171,0.000551584,0.000551584,0.000551584
49,1538.47,0.7271,0.94556,1.10591,0.89312,0.90789,0.93632,0.75379,0.71524,0.81772,1.1871,0.000536081,0.000536081,0.000536081
50,1570.51,0.70849,0.95916,1.11333,0.90808,0.86355,0.92953,0.76409,0.71353,0.86261,1.19655,0.000520548,0.000520548,0.000520548
51,1601.48,0.67902,0.9185,1.10026,0.88332,0.87693,0.91238,0.74511,0.7271,0.8184,1.21122,0.000505,0.000505,0.000505
52,1632.45,0.71164,0.97918,1.11656,0.93153,0.86589,0.93686,0.75682,0.70438,0.83423,1.17223,0.000489452,0.000489452,0.000489452
53,1664.27,0.685,0.92565,1.09757,0.91015,0.90297,0.94485,0.76412,0.71719,0.79517,1.17724,0.000473919,0.000473919,0.000473919
54,1695.83,0.69601,0.90101,1.11466,0.88202,0.90538,0.93929,0.74567,0.78557,0.82293,1.2502,0.000458416,0.000458416,0.000458416
55,1727.09,0.67296,0.88239,1.0862,0.8905,0.91916,0.93873,0.75777,0.74974,0.78645,1.19341,0.00044296,0.00044296,0.00044296
56,1758.68,0.66982,0.89091,1.08639,0.91582,0.89803,0.94294,0.77236,0.70761,0.77022,1.19127,0.000427565,0.000427565,0.000427565
57,1790.98,0.66263,0.94054,1.08552,0.88167,0.92108,0.9453,0.77862,0.68239,0.77651,1.15749,0.000412246,0.000412246,0.000412246
58,1822.89,0.6712,0.93382,1.09357,0.91401,0.89142,0.95152,0.77467,0.6816,0.78623,1.15927,0.000397019,0.000397019,0.000397019
59,1853.29,0.66166,0.90578,1.08537,0.92477,0.884,0.94336,0.7557,0.71889,0.82645,1.20221,0.000381899,0.000381899,0.000381899
60,1884.23,0.67016,0.84181,1.09443,0.89785,0.93349,0.96133,0.77235,0.72858,0.75929,1.20486,0.000366899,0.000366899,0.000366899
61,1915.79,0.62714,0.79946,1.06789,0.90441,0.93186,0.95563,0.76939,0.71315,0.74114,1.19365,0.000352037,0.000352037,0.000352037
62,1946.49,0.64463,0.84474,1.08328,0.93344,0.90921,0.94786,0.75153,0.74025,0.75734,1.235,0.000337325,0.000337325,0.000337325
63,1977.94,0.62035,0.82071,1.06098,0.91846,0.87386,0.95165,0.76902,0.6931,0.76116,1.19719,0.000322778,0.000322778,0.000322778
64,2009.91,0.61317,0.80064,1.05823,0.89826,0.9298,0.96052,0.76892,0.72968,0.7194,1.22616,0.000308412,0.000308412,0.000308412
65,2042,0.61629,0.80041,1.06117,0.93784,0.91276,0.94644,0.75255,0.73311,0.72559,1.21951,0.000294239,0.000294239,0.000294239
66,2073.26,0.62039,0.78209,1.06434,0.91765,0.90851,0.95319,0.77046,0.73121,0.72477,1.23052,0.000280275,0.000280275,0.000280275
67,2105.52,0.60458,0.76207,1.03837,0.93186,0.91265,0.94662,0.76928,0.74689,0.74908,1.20314,0.000266532,0.000266532,0.000266532
68,2137.34,0.6191,0.78505,1.05491,0.92347,0.91468,0.95485,0.76779,0.73373,0.70609,1.21228,0.000253024,0.000253024,0.000253024
69,2168.44,0.63776,0.79007,1.07639,0.92524,0.90258,0.95921,0.77527,0.71259,0.71465,1.18668,0.000239766,0.000239766,0.000239766
70,2200.29,0.62054,0.73841,1.06184,0.91804,0.9098,0.94123,0.77273,0.69089,0.744,1.18686,0.000226769,0.000226769,0.000226769
71,2232.24,0.58605,0.71944,1.04681,0.9421,0.9129,0.93868,0.77883,0.71426,0.6684,1.19371,0.000214046,0.000214046,0.000214046
72,2263.08,0.58881,0.73551,1.04611,0.89375,0.93791,0.93886,0.77355,0.7082,0.68983,1.19027,0.000201611,0.000201611,0.000201611
73,2294.4,0.57054,0.69905,1.04169,0.92041,0.94725,0.95221,0.78919,0.67067,0.65957,1.1654,0.000189475,0.000189475,0.000189475
74,2326.92,0.58668,0.7345,1.05733,0.89354,0.93213,0.93175,0.78772,0.67538,0.68742,1.16153,0.000177651,0.000177651,0.000177651
75,2358.48,0.59602,0.72892,1.05494,0.89507,0.92966,0.95068,0.79458,0.64377,0.66141,1.13815,0.000166149,0.000166149,0.000166149
76,2389.17,0.60194,0.75766,1.06503,0.93185,0.92788,0.95153,0.78549,0.66669,0.6219,1.17109,0.000154982,0.000154982,0.000154982
77,2421.15,0.56685,0.72763,1.03987,0.91736,0.91867,0.94123,0.77996,0.6765,0.68537,1.17186,0.000144161,0.000144161,0.000144161
78,2452.25,0.56975,0.70663,1.03022,0.93355,0.90276,0.94602,0.78496,0.68131,0.67589,1.18009,0.000133695,0.000133695,0.000133695
79,2483.81,0.57008,0.68838,1.02558,0.91459,0.92637,0.94616,0.77546,0.70117,0.66478,1.20257,0.000123596,0.000123596,0.000123596
