epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2403,1.18227,4.09223,1.47131,0,0,0,0,1.14355,4.42521,1.52902,0.00041441,0.00041441,0.00041441
2,31.9274,1.32148,2.87943,1.62422,0.41612,0.36185,0.21816,0.11008,1.39486,4.13916,2.10451,0.000834763,0.000834763,0.000834763
3,47.3275,1.41599,2.17792,1.79169,0.50388,0.18323,0.18771,0.07096,1.75177,3.42145,2.70926,0.00124663,0.00124663,0.00124663
4,62.8335,1.54938,2.03336,1.86145,0.25151,0.56488,0.37998,0.19209,1.84509,2.75503,2.52589,0.00138656,0.00138656,0.00138656
5,78.3651,1.47414,1.75329,1.77257,0.37688,0.34492,0.24526,0.11463,1.86762,3.21152,2.55281,0.00137241,0.00137241,0.00137241
6,94.2069,1.53948,1.94913,1.79702,0.25984,0.54278,0.29662,0.12744,1.74156,3.37634,2.18212,0.00135826,0.00135826,0.00135826
7,109.466,1.37581,1.72023,1.66927,0.56962,0.62478,0.57887,0.28314,1.73227,1.99548,2.09399,0.00134412,0.00134412,0.00134412
8,125.115,1.36585,1.56303,1.65171,0.27989,0.65508,0.36352,0.15547,1.85277,2.56953,2.15056,0.00132997,0.00132997,0.00132997
9,140.537,1.35971,1.48574,1.61252,0.57017,0.71979,0.63239,0.35274,1.41547,1.79472,1.92944,0.00131582,0.00131582,0.00131582
10,156.108,1.31322,1.48033,1.60553,0.50805,0.58111,0.46451,0.25379,1.50915,1.92658,1.93586,0.00130168,0.00130168,0.00130168
11,171.423,1.32701,1.43282,1.55581,0.6888,0.57421,0.51401,0.25846,1.51099,2.34653,1.94209,0.00128753,0.00128753,0.00128753
12,187.019,1.30165,1.4481,1.54844,0.53615,0.72468,0.66809,0.33957,1.46119,2.02253,1.90939,0.00127338,0.00127338,0.00127338
13,202.37,1.28314,1.34823,1.54053,0.64323,0.73242,0.69688,0.35085,1.70357,1.57412,2.11121,0.00125923,0.00125923,0.00125923
14,218.28,1.25198,1.39629,1.51229,0.56573,0.69711,0.67836,0.36237,1.5411,1.75139,2.17699,0.00124509,0.00124509,0.00124509
15,233.573,1.23889,1.33276,1.51828,0.64053,0.6839,0.71919,0.33129,1.68202,1.67107,2.14487,0.00123094,0.00123094,0.00123094
16,249.067,1.23499,1.27144,1.4848,0.66055,0.71569,0.70947,0.36059,1.56271,1.51928,2.0316,0.00121679,0.00121679,0.00121679
17,264.613,1.21255,1.29676,1.494,0.67021,0.67861,0.71241,0.35415,1.53182,1.60808,1.8942,0.00120265,0.00120265,0.00120265
18,280.27,1.20412,1.20642,1.47998,0.66461,0.69596,0.71783,0.40153,1.5117,1.3397,1.89744,0.0011885,0.0011885,0.0011885
19,295.683,1.22668,1.24302,1.48726,0.75007,0.64617,0.70909,0.38382,1.55734,1.61126,1.95793,0.00117435,0.00117435,0.00117435
20,311.225,1.13165,1.14226,1.41569,0.75948,0.69025,0.73555,0.40015,1.38438,1.33872,1.76742,0.00116021,0.00116021,0.00116021
21,326.681,1.23103,1.23206,1.45432,0.85842,0.73084,0.81615,0.42105,1.48883,1.28586,1.81612,0.00114606,0.00114606,0.00114606
22,342.035,1.13565,1.12769,1.4061,0.60213,0.79001,0.71355,0.41322,1.3788,1.44116,1.76311,0.00113191,0.00113191,0.00113191
23,357.252,1.12073,1.10887,1.39988,0.70443,0.69162,0.73369,0.43639,1.31464,1.32292,1.72593,0.00111776,0.00111776,0.00111776
24,372.907,1.15248,1.18012,1.47538,0.74457,0.67577,0.68628,0.40582,1.33486,1.39001,1.74157,0.00110362,0.00110362,0.00110362
25,388.386,1.14571,1.14062,1.38661,0.69915,0.79635,0.75497,0.42617,1.41264,1.36184,1.77211,0.00108947,0.00108947,0.00108947
26,403.661,1.11812,1.09499,1.40078,0.67118,0.67876,0.68371,0.42173,1.3845,1.32419,1.75798,0.00107532,0.00107532,0.00107532
27,418.919,1.11897,1.14576,1.40186,0.62674,0.72638,0.70337,0.42577,1.37163,1.37411,1.77306,0.00106118,0.00106118,0.00106118
28,434.328,1.09753,1.02889,1.38677,0.71259,0.76539,0.75104,0.41877,1.46352,1.25699,1.86035,0.00104703,0.00104703,0.00104703
29,449.737,1.07214,1.01261,1.33998,0.76301,0.65452,0.76448,0.40712,1.54333,1.19945,1.96352,0.00103288,0.00103288,0.00103288
30,465.163,1.08174,1.02991,1.3793,0.79051,0.72811,0.78938,0.45125,1.43395,1.17291,1.8862,0.00101873,0.00101873,0.00101873
31,480.326,1.06545,0.9848,1.36813,0.59692,0.84131,0.76973,0.46739,1.34018,1.1872,1.8462,0.00100459,0.00100459,0.00100459
32,495.749,1.1172,1.08685,1.38826,0.72794,0.69609,0.69792,0.41549,1.50508,1.40025,1.91569,0.00099044,0.00099044,0.00099044
33,511.252,1.04344,0.97898,1.36137,0.7611,0.69772,0.75483,0.39492,1.54646,1.36158,1.94524,0.000976293,0.000976293,0.000976293
34,526.592,1.07728,1.01289,1.34472,0.78928,0.76754,0.77456,0.45655,1.37988,1.20429,1.82138,0.000962146,0.000962146,0.000962146
