epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43367,1.25048,1.41945,1.52145,0.57455,0.48725,0.54547,0.24831,2.0233,1.90328,2.29511,0.00041441,0.00041441,0.00041441
2,12.4208,1.42833,1.37004,1.65548,0.37469,0.45376,0.33564,0.14281,1.96336,2.85837,2.65466,0.000834763,0.000834763,0.000834763
3,19.1171,1.49144,1.53358,1.72656,0.20414,0.43214,0.19749,0.07703,2.04927,5.26226,2.93744,0.00124663,0.00124663,0.00124663
4,25.5076,1.54923,1.6392,1.71782,0.54604,0.17778,0.20173,0.10621,2.29465,9.98413,2.91697,0.00138656,0.00138656,0.00138656
5,31.6053,1.48787,1.60098,1.67449,0.22342,0.36837,0.26805,0.13027,2.12547,3.28039,2.77267,0.00137241,0.00137241,0.00137241
6,37.9455,1.54219,1.61935,1.73349,0.50883,0.48469,0.50805,0.2148,2.01193,2.50092,2.56143,0.00135826,0.00135826,0.00135826
7,44.3491,1.53835,1.54813,1.74159,0.44232,0.46429,0.35964,0.18399,1.92861,3.53487,2.49013,0.00134412,0.00134412,0.00134412
8,50.3558,1.5652,1.52662,1.7239,0.54965,0.37485,0.37127,0.15052,1.87199,2.8979,2.37236,0.00132997,0.00132997,0.00132997
9,56.5391,1.45016,1.49278,1.64149,0.46109,0.64786,0.57543,0.26973,1.75898,1.66355,2.18432,0.00131582,0.00131582,0.00131582
10,63.0284,1.43111,1.39396,1.65055,0.42729,0.55556,0.42929,0.20031,1.92956,1.96773,2.21869,0.00130168,0.00130168,0.00130168
11,69.2139,1.4469,1.47329,1.62716,0.46765,0.45317,0.41666,0.18588,1.7428,2.51825,2.1634,0.00128753,0.00128753,0.00128753
12,75.3659,1.43261,1.43473,1.60481,0.59848,0.52371,0.60257,0.28169,1.60125,1.9144,1.89953,0.00127338,0.00127338,0.00127338
13,82.2075,1.46804,1.39805,1.6424,0.76466,0.58597,0.70656,0.3684,1.6195,1.94395,1.98943,0.00125923,0.00125923,0.00125923
14,88.7327,1.33764,1.36024,1.54583,0.69221,0.59087,0.69998,0.37387,1.61035,1.78656,2.10012,0.00124509,0.00124509,0.00124509
15,94.9317,1.33318,1.29947,1.55175,0.58052,0.54762,0.60919,0.3263,1.57614,1.70643,2.01381,0.00123094,0.00123094,0.00123094
16,101.475,1.33807,1.19481,1.54698,0.47318,0.58254,0.54804,0.2805,1.6224,1.60924,1.92006,0.00121679,0.00121679,0.00121679
17,107.991,1.24788,1.2022,1.49507,0.7165,0.61151,0.65955,0.3703,1.54843,1.42489,1.83071,0.00120265,0.00120265,0.00120265
18,114.273,1.34218,1.24546,1.57382,0.63547,0.66429,0.69708,0.39841,1.46095,1.4724,1.75373,0.0011885,0.0011885,0.0011885
19,120.793,1.36615,1.29885,1.5555,0.61879,0.73762,0.70979,0.3688,1.57142,1.44402,1.90518,0.00117435,0.00117435,0.00117435
20,127.18,1.24674,1.15456,1.49276,0.7995,0.66429,0.79599,0.46581,1.44373,1.4808,1.78071,0.00116021,0.00116021,0.00116021
21,133.418,1.28405,1.13285,1.49044,0.80531,0.68711,0.76674,0.44572,1.45481,1.18014,1.80229,0.00114606,0.00114606,0.00114606
22,139.748,1.24575,1.12853,1.45581,0.62458,0.61212,0.62956,0.34157,1.53986,1.7197,1.88898,0.00113191,0.00113191,0.00113191
23,146.163,1.27215,1.1168,1.48226,0.74125,0.63155,0.624,0.37874,1.40222,1.70892,1.76534,0.00111776,0.00111776,0.00111776
24,152.448,1.22271,1.14333,1.48072,0.65274,0.62659,0.62715,0.37823,1.40906,1.53101,1.74772,0.00110362,0.00110362,0.00110362
25,158.819,1.19097,1.08591,1.4293,0.77348,0.69768,0.73128,0.40776,1.48422,1.26012,1.78587,0.00108947,0.00108947,0.00108947
26,165.553,1.20572,1.064,1.45031,0.85,0.56918,0.73761,0.42817,1.51134,1.2242,1.84199,0.00107532,0.00107532,0.00107532
27,171.842,1.23625,1.12904,1.46526,0.78243,0.69767,0.80483,0.44549,1.51065,1.08316,1.81124,0.00106118,0.00106118,0.00106118
28,177.956,1.19441,1.03563,1.45022,0.82139,0.84301,0.85438,0.46283,1.45815,1.01301,1.80371,0.00104703,0.00104703,0.00104703
29,184.466,1.16048,1.04798,1.42129,0.77125,0.67568,0.75017,0.44976,1.42351,1.08875,1.77778,0.00103288,0.00103288,0.00103288
30,190.843,1.12318,1.04217,1.41952,0.76105,0.77479,0.71522,0.41387,1.47835,1.25677,1.77424,0.00101873,0.00101873,0.00101873
31,196.675,1.16463,0.99898,1.40417,0.85051,0.74203,0.86859,0.50318,1.38924,0.95226,1.7315,0.00100459,0.00100459,0.00100459
32,203.033,1.16884,0.99042,1.42757,0.81315,0.68641,0.78948,0.49552,1.39618,1.0163,1.69502,0.00099044,0.00099044,0.00099044
33,209.517,1.14002,0.97849,1.41048,0.6646,0.66741,0.647,0.41419,1.36438,1.58982,1.65192,0.000976293,0.000976293,0.000976293
34,215.668,1.21385,0.99448,1.43285,0.79027,0.75242,0.80831,0.49765,1.37664,1.07697,1.62502,0.000962146,0.000962146,0.000962146
35,221.846,1.14484,0.95477,1.39882,0.74726,0.75918,0.77375,0.47165,1.37431,1.18691,1.67612,0.000947999,0.000947999,0.000947999
36,228.451,1.07441,0.93055,1.35666,0.67555,0.66195,0.69935,0.41543,1.3683,1.64742,1.65421,0.000933851,0.000933851,0.000933851
37,234.603,1.06099,0.86782,1.34902,0.8106,0.76038,0.79334,0.47162,1.35707,1.00944,1.67449,0.000919704,0.000919704,0.000919704
38,240.816,1.14791,0.98949,1.44499,0.78593,0.75873,0.78974,0.48563,1.37036,1.05115,1.68157,0.000905557,0.000905557,0.000905557
39,247.561,1.07211,0.93108,1.37603,0.79192,0.73171,0.818,0.51093,1.29802,0.94292,1.63373,0.00089141,0.00089141,0.00089141
40,253.93,1.06837,0.87731,1.36287,0.80996,0.76674,0.84506,0.52775,1.28991,0.90023,1.63683,0.000877263,0.000877263,0.000877263
41,260.007,1.04299,0.86046,1.35054,0.83141,0.72222,0.83622,0.53166,1.28321,0.97812,1.59538,0.000863116,0.000863116,0.000863116
42,266.685,1.04987,0.84987,1.35157,0.836,0.7734,0.80997,0.49365,1.36512,1.04685,1.65245,0.000848969,0.000848969,0.000848969
43,273.094,0.95953,0.80371,1.28365,0.88004,0.7525,0.84785,0.53394,1.30043,0.97016,1.63465,0.000834822,0.000834822,0.000834822
