epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82708,1.0151,1.24145,1.37565,0.47734,0.67426,0.60197,0.28625,1.4877,2.88532,2.16948,0.000465748,0.000465748,0.000465748
2,18.5036,1.20158,1.33617,1.49974,0.39783,0.70476,0.45342,0.2699,1.50495,2.07279,2.88621,0.000941851,0.000941851,0.000941851
3,27.7854,1.33735,1.57985,1.62619,0.54482,0.51574,0.52568,0.26743,1.60618,2.6501,2.33394,0.00141703,0.00141703,0.00141703
4,36.3832,1.43583,1.64582,1.7128,0.59931,0.35714,0.36844,0.17387,2.08743,4.60109,2.65503,0.00142586,0.00142586,0.00142586
5,45.5376,1.43922,1.67339,1.66713,0.24027,0.45,0.1806,0.09053,1.89155,5.15938,2.55056,0.00142342,0.00142342,0.00142342
6,54.463,1.33834,1.54757,1.58157,0.44728,0.39187,0.37907,0.14836,1.75766,3.57396,2.20205,0.00142029,0.00142029,0.00142029
7,63.3579,1.30278,1.43751,1.52184,0.45406,0.50829,0.42317,0.19693,1.71584,3.62844,2.0977,0.00141647,0.00141647,0.00141647
8,72.5532,1.28503,1.45033,1.53619,0.34271,0.36032,0.27384,0.12342,1.63831,2.6031,1.94024,0.00141196,0.00141196,0.00141196
9,81.1963,1.31666,1.41915,1.58245,0.52269,0.63484,0.6118,0.36475,1.35254,1.94113,1.7569,0.00140678,0.00140678,0.00140678
10,90.6562,1.21417,1.34539,1.47902,0.65787,0.77945,0.7265,0.40709,1.21604,1.57094,1.5803,0.00140091,0.00140091,0.00140091
11,99.4583,1.19099,1.30728,1.44778,0.44131,0.50783,0.40785,0.22294,1.55078,2.44973,1.98075,0.00139438,0.00139438,0.00139438
12,108.953,1.19837,1.26651,1.49227,0.59704,0.53307,0.60518,0.35068,1.33699,1.64368,1.67023,0.00138718,0.00138718,0.00138718
13,117.871,1.24271,1.31502,1.49818,0.8259,0.56111,0.69809,0.46321,1.19668,1.34046,1.60985,0.00137933,0.00137933,0.00137933
14,127.022,1.14419,1.23809,1.42559,0.81756,0.61879,0.70925,0.4408,1.24069,1.41482,1.63955,0.00137082,0.00137082,0.00137082
15,136.075,1.17528,1.20436,1.46394,0.72752,0.62564,0.67237,0.37017,1.52142,1.47169,1.86948,0.00136168,0.00136168,0.00136168
16,144.799,1.16444,1.23264,1.41641,0.68806,0.75937,0.76286,0.44207,1.32373,1.14535,1.67825,0.0013519,0.0013519,0.0013519
17,154.191,1.13264,1.20757,1.42511,0.73062,0.66954,0.76554,0.46585,1.19295,1.32164,1.55734,0.0013415,0.0013415,0.0013415
18,162.842,1.11432,1.13545,1.39152,0.77508,0.79301,0.80165,0.48686,1.17146,1.14898,1.5355,0.0013305,0.0013305,0.0013305
