epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6393,0.96346,2.2362,1.2888,0.7374,0.60175,0.6541,0.48038,0.94619,2.45965,1.38207,0.00032963,0.00032963,0.00032963
2,65.41,1.09953,2.10717,1.35739,0.52785,0.56837,0.5737,0.34858,1.34479,2.64167,1.63139,0.000662801,0.000662801,0.000662801
3,97.4137,1.17207,2.21334,1.37499,0.64826,0.4465,0.48655,0.31953,1.3184,3.3274,1.70388,0.000995323,0.000995323,0.000995323
4,130.351,1.2391,2.31131,1.42469,0.55777,0.56074,0.55132,0.34464,1.38707,2.95432,1.63847,0.000997803,0.000997803,0.000997803
5,163.102,1.26636,2.246,1.42011,0.63209,0.53977,0.57932,0.34618,1.45907,2.64247,1.73418,0.000996097,0.000996097,0.000996097
6,197.906,1.28813,2.35445,1.43996,0.58663,0.64369,0.68363,0.45786,1.20104,2.20006,1.46871,0.000993906,0.000993906,0.000993906
7,231.627,1.20496,2.0653,1.38502,0.57821,0.61148,0.60598,0.41539,1.19186,2.26585,1.4948,0.000991232,0.000991232,0.000991232
8,263.39,1.25458,2.09454,1.42895,0.60018,0.57657,0.61164,0.37113,1.48442,2.43717,1.66114,0.000988079,0.000988079,0.000988079
9,295.798,1.20086,2.03522,1.38806,0.63266,0.70622,0.69841,0.46415,1.18008,1.94475,1.43251,0.000984449,0.000984449,0.000984449
10,327.99,1.18522,2.20077,1.35677,0.56379,0.54206,0.58034,0.36436,1.44219,2.29796,1.66629,0.000980345,0.000980345,0.000980345
11,359.903,1.08835,1.9055,1.31442,0.682,0.67942,0.74037,0.50109,1.18563,1.90823,1.43047,0.000975773,0.000975773,0.000975773
12,391.577,1.09979,1.85417,1.31687,0.73999,0.69506,0.7553,0.51967,1.10077,1.70923,1.36903,0.000970736,0.000970736,0.000970736
13,423.7,1.1072,1.87648,1.30689,0.82921,0.67647,0.80757,0.55741,1.10197,1.56132,1.35843,0.000965239,0.000965239,0.000965239
14,456.403,1.05245,1.69951,1.29519,0.77121,0.73916,0.79259,0.5413,1.09767,1.56417,1.39929,0.000959289,0.000959289,0.000959289
15,489.005,1.0447,1.69468,1.2786,0.71493,0.72382,0.75521,0.52746,1.11451,1.70289,1.43637,0.000952889,0.000952889,0.000952889
16,520.797,1.0637,1.72304,1.28322,0.80858,0.68528,0.74826,0.54491,1.07743,1.80286,1.36265,0.000946048,0.000946048,0.000946048
17,553.697,1.03086,1.55221,1.2694,0.76642,0.78621,0.81547,0.56795,1.11245,1.73626,1.37612,0.000938772,0.000938772,0.000938772
18,585.352,1.01882,1.58161,1.27311,0.77826,0.71498,0.79043,0.57922,0.98128,1.55497,1.32162,0.000931067,0.000931067,0.000931067
19,617.33,1.01396,1.53665,1.28035,0.78796,0.75442,0.79005,0.54749,1.13582,1.63304,1.45132,0.000922942,0.000922942,0.000922942
20,649.151,1.00824,1.53795,1.25994,0.70503,0.70983,0.75951,0.54697,1.03947,1.75849,1.33031,0.000914405,0.000914405,0.000914405
21,681.868,0.97092,1.57087,1.23039,0.68874,0.76277,0.7977,0.60156,1.00294,1.79057,1.3241,0.000905463,0.000905463,0.000905463
22,714.284,0.95593,1.4892,1.22573,0.8329,0.8046,0.87018,0.6406,0.98387,1.27278,1.29148,0.000896127,0.000896127,0.000896127
23,746.806,0.95257,1.40611,1.2199,0.81501,0.81564,0.86723,0.63038,1.01556,1.2008,1.32083,0.000886404,0.000886404,0.000886404
24,778.164,0.97116,1.38109,1.25725,0.80919,0.81493,0.8687,0.64071,1.00638,1.18997,1.32568,0.000876305,0.000876305,0.000876305
25,811.5,0.92244,1.31525,1.21584,0.863,0.78281,0.86893,0.63704,0.99332,1.28202,1.31535,0.000865839,0.000865839,0.000865839
26,843.488,0.91893,1.34155,1.21761,0.78469,0.77459,0.84098,0.61597,1.00383,1.37802,1.31768,0.000855018,0.000855018,0.000855018
27,875.31,0.92218,1.31376,1.21043,0.85458,0.8271,0.89198,0.64295,1.01459,1.12391,1.33342,0.000843851,0.000843851,0.000843851
28,906.959,0.94364,1.30059,1.23346,0.84564,0.85725,0.87925,0.65331,0.96091,1.10867,1.28461,0.000832349,0.000832349,0.000832349
29,939.251,0.92849,1.32808,1.22264,0.80964,0.83549,0.86574,0.64894,0.95785,1.18603,1.2721,0.000820525,0.000820525,0.000820525
30,970.91,0.91358,1.29562,1.21125,0.79922,0.85115,0.88302,0.64631,0.96105,1.19926,1.27848,0.000808389,0.000808389,0.000808389
31,1002.66,0.89428,1.25824,1.211,0.83148,0.80186,0.85865,0.62659,1.00754,1.21906,1.32515,0.000795954,0.000795954,0.000795954
32,1035.14,0.91336,1.24024,1.20278,0.84453,0.76987,0.84324,0.64521,0.9665,1.20212,1.30426,0.000783231,0.000783231,0.000783231
33,1066.84,0.84766,1.1748,1.17417,0.87615,0.782,0.87217,0.64982,0.95038,1.19777,1.27352,0.000770234,0.000770234,0.000770234
34,1099.33,0.87574,1.2445,1.18825,0.82498,0.83955,0.90226,0.68554,0.89357,1.09191,1.24027,0.000756976,0.000756976,0.000756976
35,1133.54,0.82476,1.13035,1.15746,0.81584,0.83924,0.87012,0.64005,0.94075,1.17453,1.27061,0.000743468,0.000743468,0.000743468
36,1165.62,0.84709,1.15382,1.18108,0.89656,0.86035,0.8968,0.66507,0.96009,1.03349,1.31792,0.000729725,0.000729725,0.000729725
37,1198,0.88678,1.16486,1.19145,0.86058,0.84469,0.89494,0.65099,0.98424,1.09929,1.30216,0.000715761,0.000715761,0.000715761
38,1229.87,0.87008,1.10198,1.16914,0.85617,0.82246,0.88814,0.65157,0.99716,1.11452,1.28974,0.000701588,0.000701588,0.000701588
39,1261.99,0.84465,1.0908,1.15395,0.86496,0.86253,0.90692,0.66393,0.97567,1.07439,1.31882,0.000687222,0.000687222,0.000687222
40,1294.87,0.83405,1.13649,1.17173,0.82209,0.86558,0.89646,0.67733,0.91232,1.09064,1.25632,0.000672675,0.000672675,0.000672675
41,1326.09,0.82442,1.07066,1.15713,0.89355,0.85193,0.91783,0.7106,0.85349,0.99197,1.22718,0.000657963,0.000657963,0.000657963
42,1358.06,0.80945,1.07974,1.15663,0.85747,0.82265,0.87731,0.65544,0.97102,1.12008,1.30721,0.000643101,0.000643101,0.000643101
43,1390.04,0.83874,1.11113,1.16139,0.8675,0.82986,0.90006,0.66126,0.90584,1.05173,1.26005,0.000628101,0.000628101,0.000628101
44,1421.85,0.78111,1.02792,1.13129,0.86975,0.83069,0.89821,0.69859,0.87611,1.08537,1.23579,0.000612981,0.000612981,0.000612981
45,1453.62,0.77793,0.9587,1.12891,0.90087,0.85358,0.9295,0.69749,0.91884,0.96652,1.27441,0.000597754,0.000597754,0.000597754
46,1485.37,0.79139,0.95932,1.13583,0.8807,0.84938,0.91394,0.69259,0.89099,0.9787,1.24266,0.000582435,0.000582435,0.000582435
47,1517.47,0.77909,1.01293,1.13428,0.89264,0.8757,0.90152,0.69472,0.91231,0.96314,1.29888,0.00056704,0.00056704,0.00056704
48,1549.39,0.78054,1.02086,1.13943,0.84344,0.83276,0.88152,0.66712,0.88893,1.16339,1.26414,0.000551584,0.000551584,0.000551584
49,1581.07,0.79716,0.92208,1.13584,0.86818,0.8393,0.89564,0.66845,0.94008,1.04229,1.28129,0.000536081,0.000536081,0.000536081
50,1614.04,0.79551,0.92373,1.12576,0.91287,0.86888,0.92542,0.6945,0.88548,0.84878,1.25223,0.000520548,0.000520548,0.000520548
51,1646.08,0.77941,0.97592,1.13827,0.83782,0.86028,0.88652,0.67232,0.91467,1.05157,1.25941,0.000505,0.000505,0.000505
52,1677.72,0.76687,0.95681,1.1202,0.91799,0.8345,0.90875,0.6931,0.87533,0.98916,1.23735,0.000489452,0.000489452,0.000489452
53,1710.11,0.76765,0.92076,1.13523,0.90302,0.87222,0.91718,0.68533,0.92121,0.90986,1.27888,0.000473919,0.000473919,0.000473919
54,1742.55,0.74291,0.90276,1.10924,0.88373,0.87579,0.91417,0.7069,0.844,0.91725,1.2278,0.000458416,0.000458416,0.000458416
55,1774.04,0.70318,0.85691,1.09313,0.92492,0.87603,0.92522,0.70733,0.85916,0.90528,1.23939,0.00044296,0.00044296,0.00044296
56,1806,0.69475,0.83762,1.07944,0.92195,0.88384,0.914,0.69285,0.8914,0.85523,1.30589,0.000427565,0.000427565,0.000427565
57,1838.26,0.73775,0.86828,1.11864,0.89692,0.88932,0.91354,0.68709,0.91038,0.89804,1.27725,0.000412246,0.000412246,0.000412246
58,1870.24,0.72037,0.85628,1.10616,0.86082,0.89314,0.92267,0.71414,0.84752,0.90298,1.23361,0.000397019,0.000397019,0.000397019
59,1902.61,0.73204,0.80947,1.10752,0.91619,0.85887,0.92139,0.7079,0.83854,0.85414,1.22706,0.000381899,0.000381899,0.000381899
60,1934.05,0.71532,0.81409,1.09524,0.91445,0.87998,0.92499,0.70518,0.84676,0.86709,1.24494,0.000366899,0.000366899,0.000366899
61,1967.01,0.68769,0.8412,1.08434,0.894,0.89287,0.91663,0.70938,0.84085,0.86621,1.23198,0.000352037,0.000352037,0.000352037
62,1999.01,0.68763,0.74957,1.07541,0.9269,0.87991,0.931,0.717,0.87819,0.81444,1.26992,0.000337325,0.000337325,0.000337325
63,2030.36,0.69087,0.81066,1.07795,0.90431,0.84499,0.91508,0.70273,0.86755,0.94603,1.27139,0.000322778,0.000322778,0.000322778
64,2062.65,0.67226,0.76631,1.07403,0.89713,0.86918,0.92291,0.70811,0.87045,0.86283,1.26307,0.000308412,0.000308412,0.000308412
65,2095.31,0.68834,0.76717,1.07664,0.88442,0.86346,0.91274,0.68579,0.89396,0.94769,1.30278,0.000294239,0.000294239,0.000294239
66,2127.9,0.65718,0.74728,1.08173,0.9124,0.84672,0.9175,0.69678,0.87961,0.84274,1.28735,0.000280275,0.000280275,0.000280275
67,2160.04,0.65427,0.71609,1.05831,0.93129,0.88555,0.93598,0.7129,0.85228,0.75674,1.25514,0.000266532,0.000266532,0.000266532
68,2191.72,0.63616,0.69785,1.04733,0.90803,0.91342,0.93561,0.73285,0.80682,0.75849,1.226,0.000253024,0.000253024,0.000253024
69,2223.71,0.65599,0.72282,1.07441,0.90302,0.86577,0.93707,0.71587,0.82392,0.85873,1.23532,0.000239766,0.000239766,0.000239766
70,2255.79,0.64348,0.71394,1.06796,0.8589,0.90508,0.92242,0.71175,0.83506,0.8843,1.24031,0.000226769,0.000226769,0.000226769
71,2288.21,0.63598,0.706,1.06421,0.88529,0.90358,0.9333,0.73558,0.82979,0.77851,1.24672,0.000214046,0.000214046,0.000214046
72,2320.22,0.60669,0.6912,1.03919,0.93897,0.86417,0.93685,0.73521,0.82497,0.78618,1.23924,0.000201611,0.000201611,0.000201611
73,2352.9,0.63129,0.70508,1.05859,0.92353,0.9061,0.92797,0.71709,0.85637,0.71782,1.27822,0.000189475,0.000189475,0.000189475
74,2385.04,0.62342,0.69138,1.05484,0.94243,0.89333,0.93466,0.732,0.81573,0.7364,1.23795,0.000177651,0.000177651,0.000177651
75,2417.8,0.61927,0.66819,1.05365,0.92413,0.8792,0.93306,0.73534,0.80303,0.78063,1.24063,0.000166149,0.000166149,0.000166149
76,2449.09,0.62,0.67223,1.04682,0.90261,0.90939,0.92981,0.73485,0.79456,0.73088,1.22227,0.000154982,0.000154982,0.000154982
77,2480.7,0.61168,0.65848,1.04599,0.91786,0.87807,0.93029,0.72069,0.81173,0.78874,1.23968,0.000144161,0.000144161,0.000144161
78,2512.47,0.60674,0.6445,1.04513,0.85263,0.92503,0.93719,0.72219,0.81357,0.77421,1.24158,0.000133695,0.000133695,0.000133695
79,2543.51,0.5869,0.6291,1.01888,0.92932,0.87283,0.93395,0.73512,0.80047,0.73248,1.2388,0.000123596,0.000123596,0.000123596
80,2576.64,0.58556,0.63194,1.04894,0.93199,0.87548,0.93426,0.73285,0.794,0.76068,1.23845,0.000113873,0.000113873,0.000113873
81,2608.49,0.60222,0.64044,1.05306,0.90687,0.89635,0.93466,0.72599,0.78928,0.76712,1.22459,0.000104537,0.000104537,0.000104537
82,2641.15,0.59076,0.62428,1.03091,0.92924,0.87203,0.93546,0.73121,0.79754,0.76097,1.2326,9.55951e-05,9.55951e-05,9.55951e-05
83,2673.32,0.5744,0.60158,1.02885,0.90957,0.90372,0.93671,0.72941,0.79442,0.74045,1.23284,8.70577e-05,8.70577e-05,8.70577e-05
84,2704.82,0.5772,0.61547,1.02422,0.91593,0.90762,0.93716,0.72767,0.80297,0.76434,1.23528,7.89327e-05,7.89327e-05,7.89327e-05
85,2736.72,0.5532,0.59292,1.01017,0.90356,0.91033,0.94032,0.73939,0.79983,0.77441,1.23773,7.12282e-05,7.12282e-05,7.12282e-05
86,2768.94,0.58525,0.624,1.03123,0.94058,0.88579,0.93947,0.73813,0.79916,0.76696,1.22707,6.39518e-05,6.39518e-05,6.39518e-05
87,2800.94,0.53869,0.5683,1.0057,0.90853,0.89119,0.93782,0.73253,0.79471,0.79037,1.22688,5.71106e-05,5.71106e-05,5.71106e-05
88,2833.63,0.55761,0.59879,1.02217,0.92625,0.88145,0.93798,0.73442,0.79859,0.78963,1.23675,5.07115e-05,5.07115e-05,5.07115e-05
89,2864.81,0.55267,0.59008,1.01739,0.92954,0.89179,0.9417,0.73339,0.80004,0.76056,1.24231,4.47606e-05,4.47606e-05,4.47606e-05
90,2896.48,0.57806,0.61636,1.03173,0.93885,0.88393,0.93855,0.73627,0.78348,0.75009,1.23192,3.9264e-05,3.9264e-05,3.9264e-05
91,2937.56,0.41854,0.41158,0.93267,0.93463,0.8608,0.93054,0.72516,0.82024,0.78438,1.27229,3.4227e-05,3.4227e-05,3.4227e-05
92,2968.55,0.42701,0.3922,0.94094,0.938,0.85999,0.93159,0.72406,0.82272,0.76939,1.27357,2.96546e-05,2.96546e-05,2.96546e-05
93,2999.07,0.40652,0.38351,0.93119,0.94001,0.87432,0.9338,0.72545,0.80922,0.76199,1.25988,2.55513e-05,2.55513e-05,2.55513e-05
94,3031.1,0.40817,0.37925,0.92517,0.94189,0.87735,0.93532,0.72536,0.808,0.75246,1.25744,2.19212e-05,2.19212e-05,2.19212e-05
95,3062.54,0.3871,0.3669,0.91611,0.94923,0.87756,0.9317,0.72141,0.8099,0.7539,1.25787,1.87678e-05,1.87678e-05,1.87678e-05
96,3093.77,0.39315,0.35894,0.92557,0.91707,0.88613,0.92938,0.72085,0.80277,0.78421,1.25298,1.60943e-05,1.60943e-05,1.60943e-05
97,3125.72,0.39773,0.36995,0.92906,0.93278,0.86398,0.92828,0.72,0.79964,0.78957,1.24663,1.39032e-05,1.39032e-05,1.39032e-05
98,3156.59,0.38879,0.35584,0.90903,0.93861,0.86513,0.9281,0.72181,0.80005,0.79042,1.24932,1.21968e-05,1.21968e-05,1.21968e-05
99,3188.9,0.39215,0.34587,0.92978,0.93171,0.87757,0.92689,0.71459,0.79838,0.80033,1.25124,1.09768e-05,1.09768e-05,1.09768e-05
100,3219.54,0.38362,0.34838,0.90729,0.94086,0.87352,0.9286,0.71667,0.80118,0.7908,1.25452,1.02443e-05,1.02443e-05,1.02443e-05
