epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6281,0.9499,2.36555,1.29119,0.65448,0.73433,0.71831,0.49233,1.13572,2.26937,1.56216,0.000330159,0.000330159,0.000330159
2,73.9592,1.20049,2.28272,1.41459,0.54198,0.42619,0.50933,0.32251,1.45113,3.50862,1.95908,0.00066333,0.00066333,0.00066333
3,111.693,1.25715,2.39834,1.45785,0.29554,0.43513,0.34277,0.21002,1.71067,5.15124,2.33266,0.000995852,0.000995852,0.000995852
4,149.648,1.31142,2.48927,1.47871,0.48654,0.5477,0.49292,0.28953,1.45795,3.15815,1.84797,0.000997803,0.000997803,0.000997803
5,186.527,1.2682,2.50745,1.43882,0.52385,0.48638,0.50024,0.31588,1.36077,4.66868,1.70888,0.000996097,0.000996097,0.000996097
6,225.225,1.23957,2.2819,1.41413,0.57974,0.38318,0.3854,0.24989,1.5037,4.02068,1.83322,0.000993906,0.000993906,0.000993906
7,262.762,1.26876,2.35188,1.43286,0.6329,0.67011,0.7177,0.49183,1.36364,2.32079,1.61736,0.000991232,0.000991232,0.000991232
8,300.882,1.28738,2.29633,1.4569,0.59836,0.56214,0.6212,0.41389,1.36899,2.4116,1.62619,0.000988079,0.000988079,0.000988079
9,338.908,1.25118,2.17231,1.40312,0.73143,0.51831,0.63434,0.40864,1.32396,2.54245,1.68146,0.000984449,0.000984449,0.000984449
10,376.787,1.19089,2.05247,1.37897,0.59116,0.51551,0.52029,0.35828,1.44691,3.07391,1.82189,0.000980345,0.000980345,0.000980345
11,414.764,1.15963,2.00496,1.34855,0.78425,0.70144,0.75959,0.54078,1.2369,1.79025,1.58701,0.000975773,0.000975773,0.000975773
12,452.198,1.14092,1.87374,1.33143,0.74297,0.70436,0.76188,0.54586,1.05199,1.78435,1.4218,0.000970736,0.000970736,0.000970736
13,491.043,1.12965,1.84601,1.32555,0.65342,0.71401,0.72053,0.51094,1.20341,2.23492,1.50528,0.000965239,0.000965239,0.000965239
14,528.223,1.1284,1.92672,1.32988,0.69402,0.72507,0.74899,0.5394,1.10235,1.76703,1.46417,0.000959289,0.000959289,0.000959289
15,566.36,1.08183,1.75092,1.30184,0.79283,0.68353,0.82249,0.61466,1.00911,1.58515,1.37093,0.000952889,0.000952889,0.000952889
