epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81129,1.03688,1.24242,1.40444,0.60396,0.66183,0.66832,0.43545,1.0797,2.58068,1.79719,0.000465748,0.000465748,0.000465748
2,18.7292,1.21828,1.3285,1.53176,0.27915,0.3131,0.24057,0.10564,2.0243,2.90209,2.72924,0.000941851,0.000941851,0.000941851
3,27.7228,1.29246,1.41737,1.58337,0.22609,0.19736,0.14371,0.07192,1.87751,3.95221,2.33819,0.00141703,0.00141703,0.00141703
4,36.7312,1.38431,1.5339,1.63506,0.46155,0.2921,0.27496,0.12749,1.87846,3.83739,2.36861,0.00142586,0.00142586,0.00142586
5,45.1368,1.28629,1.4657,1.55127,0.47278,0.48046,0.33537,0.15544,1.97184,5.45314,2.64552,0.00142342,0.00142342,0.00142342
6,54.3322,1.34725,1.45758,1.59398,0.34028,0.52922,0.35133,0.13127,2.11297,3.95945,2.66367,0.00142029,0.00142029,0.00142029
7,62.7576,1.30353,1.45798,1.54467,0.57582,0.59819,0.60247,0.32493,1.53368,2.15826,1.938,0.00141647,0.00141647,0.00141647
8,71.8139,1.29775,1.43684,1.55805,0.64526,0.28987,0.35054,0.19787,1.411,2.42881,1.77729,0.00141196,0.00141196,0.00141196
9,80.4537,1.27647,1.4102,1.56045,0.46939,0.52995,0.49726,0.25457,1.51437,2.20155,1.93818,0.00140678,0.00140678,0.00140678
10,89.4003,1.256,1.31184,1.50555,0.56114,0.45143,0.35707,0.19273,1.71629,2.68038,2.10004,0.00140091,0.00140091,0.00140091
11,98.2983,1.24311,1.3431,1.52507,0.61702,0.61571,0.6219,0.35089,1.39314,1.80511,1.93055,0.00139438,0.00139438,0.00139438
12,106.878,1.22303,1.28829,1.50754,0.74071,0.61804,0.67766,0.37359,1.43377,1.42882,1.82703,0.00138718,0.00138718,0.00138718
13,116.174,1.18903,1.28102,1.47352,0.54637,0.64817,0.64178,0.38551,1.26814,1.44222,1.69805,0.00137933,0.00137933,0.00137933
14,124.688,1.16844,1.20107,1.43072,0.62301,0.61901,0.67382,0.41467,1.30733,1.62114,1.72721,0.00137082,0.00137082,0.00137082
15,133.77,1.16261,1.12662,1.43073,0.76856,0.73819,0.82887,0.55016,1.14678,1.0897,1.53702,0.00136168,0.00136168,0.00136168
16,142.408,1.20167,1.16126,1.45127,0.80427,0.70346,0.79861,0.54422,1.10617,1.17294,1.56384,0.0013519,0.0013519,0.0013519
