epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66506,1.38712,1.59167,1.6607,0.63774,0.60394,0.68532,0.41408,1.34623,1.41028,1.72407,0.00041441,0.00041441,0.00041441
2,13.2875,1.37969,1.35299,1.6241,0.46746,0.3569,0.41255,0.22539,1.81484,2.56309,2.73547,0.000834763,0.000834763,0.000834763
3,19.2657,1.48047,1.50386,1.70572,0.25593,0.41895,0.23444,0.09894,2.076,4.55878,2.74982,0.00124663,0.00124663,0.00124663
4,25.2519,1.59668,1.66447,1.75138,0.07705,0.44397,0.09437,0.02787,2.36063,5.85711,3.11169,0.00138656,0.00138656,0.00138656
5,31.6582,1.50987,1.64665,1.70172,0.3712,0.15532,0.20629,0.09119,2.1823,2.69,2.56277,0.00137241,0.00137241,0.00137241
6,37.7559,1.57253,1.61358,1.7774,0.38258,0.41548,0.14646,0.05096,2.03712,50.1882,2.61561,0.00135826,0.00135826,0.00135826
7,43.7099,1.54753,1.59789,1.76123,0.58634,0.55749,0.55709,0.26503,1.70643,2.45811,2.12516,0.00134412,0.00134412,0.00134412
8,50.3663,1.50487,1.50831,1.69458,0.25252,0.19107,0.17137,0.06468,2.398,4.9507,2.856,0.00132997,0.00132997,0.00132997
9,56.6812,1.5007,1.51476,1.67961,0.39372,0.25005,0.20112,0.10523,1.94596,4.00194,2.30315,0.00131582,0.00131582,0.00131582
10,62.581,1.4992,1.47381,1.68926,0.6927,0.44441,0.47659,0.24435,1.53506,2.31264,1.86603,0.00130168,0.00130168,0.00130168
11,68.8868,1.46193,1.4795,1.62161,0.64628,0.43116,0.55846,0.29533,1.54734,2.24094,1.86495,0.00128753,0.00128753,0.00128753
12,75.2115,1.51004,1.47755,1.6459,0.6947,0.60362,0.58359,0.33732,1.46341,1.75693,1.71639,0.00127338,0.00127338,0.00127338
13,81.3129,1.49569,1.53054,1.67261,0.60819,0.54335,0.60944,0.31336,1.5771,1.54883,1.81158,0.00125923,0.00125923,0.00125923
